ID,NAME,COUNTRY,Age,Batting style,Bowling style,Playing role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
43692,Zafar Iqbal,Pakistan,50.0,Right-hand bat,Right-arm fast-medium,Allrounder,8.0,6.0,0.0,48.0,18,8.0,62.0,77.41,0.0,0.0,2.0,1.0,1.0,0.0
39037,Azhar Ali,Pakistan,34.0,Right-hand bat,Legbreak,Top-order batsman,53.0,53.0,3.0,1845.0,102,36.9,2478.0,74.45,3.0,12.0,168.0,14.0,8.0,0.0
494230,Asif Ali,Pakistan,28.0,Right-hand bat,Right-arm medium-fast,Middle-order batsman,11.0,8.0,1.0,200.0,50*,28.57,153.0,130.71,0.0,1.0,13.0,12.0,2.0,0.0
316397,Asad Shafiq,Pakistan,33.0,Right-hand bat,Right-arm offbreak,Middle-order batsman,60.0,58.0,4.0,1336.0,84,24.74,1979.0,67.5,0.0,9.0,108.0,5.0,14.0,0.0
232491,Anwar Ali,Pakistan,32.0,Right-hand bat,Right-arm medium-fast,Bowler,22.0,16.0,5.0,321.0,43*,29.18,367.0,87.46,0.0,0.0,29.0,7.0,4.0,0.0
39821,Aizaz Cheema,Pakistan,40.0,Right-hand bat,Right-arm medium-fast,Bowler,14.0,6.0,3.0,26.0,9*,8.66,45.0,57.77,0.0,0.0,2.0,0.0,2.0,0.0
259410,Ahmed Shehzad,Pakistan,28.0,Right-hand bat,Legbreak,Opening batsman,81.0,81.0,1.0,2605.0,124,32.56,3614.0,72.08,6.0,14.0,269.0,18.0,28.0,0.0
39091,Abdur Rehman,Pakistan,39.0,Left-hand bat,Slow left-arm orthodox,Bowler,31.0,23.0,6.0,142.0,31,8.35,263.0,53.99,0.0,0.0,11.0,1.0,7.0,0.0
39836,Abdul Razzaq,Pakistan,40.0,Right-hand bat,Right-arm fast-medium,Allrounder,265.0,228.0,57.0,5080.0,112,29.7,6252.0,81.25,3.0,23.0,382.0,124.0,35.0,0.0
343305,Bilawal Bhatti,Pakistan,28.0,Right-hand bat,Right-arm medium-fast,Bowler,10.0,7.0,1.0,89.0,39,14.83,75.0,118.66,0.0,0.0,10.0,2.0,2.0,0.0
348144,Babar Azam,Pakistan,25.0,Right-hand bat,Right-arm offbreak,Batsman,59.0,57.0,9.0,2462.0,125*,51.29,2908.0,84.66,8.0,10.0,200.0,23.0,29.0,0.0
40250,Fawad Alam,Pakistan,34.0,Left-hand bat,Slow left-arm orthodox,Top-order batsman,38.0,36.0,12.0,966.0,114*,40.25,1297.0,74.47,1.0,6.0,59.0,6.0,10.0,0.0
512191,Fakhar Zaman,Pakistan,29.0,Left-hand bat,Slow left-arm orthodox,Opening batsman,31.0,31.0,4.0,1442.0,210*,53.4,1499.0,96.19,3.0,9.0,174.0,21.0,12.0,0.0
681117,Faheem Ashraf,Pakistan,25.0,Left-hand bat,Right-arm medium,Bowling allrounder,19.0,12.0,2.0,132.0,28,13.2,166.0,79.51,0.0,0.0,11.0,5.0,5.0,0.0
681305,Hasan Ali,Pakistan,25.0,Right-hand bat,Right-arm medium-fast,Bowler,44.0,22.0,6.0,203.0,59,12.68,198.0,102.52,0.0,2.0,13.0,10.0,12.0,0.0
318788,Haris Sohail,Pakistan,30.0,Left-hand bat,Slow left-arm orthodox,Middle-order batsman,27.0,26.0,4.0,1061.0,101*,48.22,1290.0,82.24,1.0,10.0,81.0,15.0,9.0,0.0
384518,Hammad Azam,Pakistan,28.0,Right-hand bat,Right-arm medium,Middle-order batsman,11.0,7.0,2.0,80.0,36,16.0,131.0,61.06,0.0,0.0,5.0,2.0,4.0,0.0
568276,Imam-ul-Haq,Pakistan,24.0,Left-hand bat,0,Top-order batsman,22.0,22.0,3.0,1107.0,128,58.26,1360.0,81.39,5.0,5.0,77.0,11.0,4.0,0.0
227758,Imad Wasim,Pakistan,31.0,Left-hand bat,Slow left-arm orthodox,Allrounder,37.0,25.0,12.0,598.0,63*,46.0,575.0,104.0,0.0,4.0,48.0,12.0,9.0,0.0
259551,Junaid Khan,Pakistan,30.0,Right-hand bat,Left-arm fast,Bowler,71.0,28.0,15.0,63.0,25,4.84,119.0,52.94,0.0,0.0,4.0,1.0,7.0,0.0
41140,Khurram Manzoor,Pakistan,33.0,Right-hand bat,Right-arm offbreak,Opening batsman,7.0,7.0,0.0,236.0,83,33.71,375.0,62.93,0.0,3.0,21.0,0.0,3.0,0.0
41028,Kamran Akmal,Pakistan,37.0,Right-hand bat,0,Wicketkeeper batsman,157.0,138.0,14.0,3236.0,124,26.09,3855.0,83.94,5.0,10.0,378.0,37.0,157.0,31.0
41324,Mohammad Sami,Pakistan,38.0,Right-hand bat,Right-arm fast,Bowler,87.0,46.0,19.0,314.0,46,11.62,490.0,64.08,0.0,0.0,16.0,10.0,19.0,0.0
323389,Mohammad Rizwan,Pakistan,27.0,Right-hand bat,0,Batsman,28.0,24.0,7.0,474.0,75*,27.88,543.0,87.29,0.0,3.0,40.0,5.0,29.0,0.0
348148,Mohammad Nawaz,Pakistan,25.0,Left-hand bat,Slow left-arm orthodox,Allrounder,14.0,12.0,3.0,199.0,53,22.11,213.0,93.42,0.0,1.0,15.0,3.0,4.0,0.0
429981,Mohammad Irfan,Pakistan,37.0,Right-hand bat,Left-arm fast,Bowler,60.0,33.0,21.0,48.0,12,4.0,149.0,32.21,0.0,0.0,5.0,2.0,11.0,0.0
41434,Mohammad Hafeez,Pakistan,39.0,Right-hand bat,Right-arm offbreak,Allrounder,208.0,206.0,15.0,6302.0,140*,32.99,8290.0,76.01,11.0,36.0,640.0,102.0,79.0,0.0
41411,Mohammad Asif,Pakistan,37.0,Left-hand bat,Right-arm fast-medium,Bowler,38.0,16.0,7.0,34.0,6,3.77,100.0,34.0,0.0,0.0,2.0,0.0,5.0,0.0
290948,Mohammad Amir,Pakistan,27.0,Left-hand bat,Left-arm fast,Bowler,50.0,27.0,9.0,352.0,73*,19.55,430.0,81.86,0.0,2.0,31.0,8.0,6.0,0.0
41282,Mohammad Akram,Pakistan,45.0,Right-hand bat,Right-arm fast-medium,Bowler,23.0,9.0,7.0,14.0,7*,7.0,34.0,41.17,0.0,0.0,1.0,0.0,8.0,0.0
41378,Misbah-ul-Haq,Pakistan,45.0,Right-hand bat,Legbreak,Middle-order batsman,162.0,149.0,31.0,5122.0,96*,43.4,6945.0,73.75,0.0,42.0,342.0,83.0,66.0,0.0
42321,Nasir Jamshed,Pakistan,30.0,Left-hand bat,0,Opening batsman,48.0,48.0,3.0,1418.0,112,31.51,1881.0,75.38,3.0,8.0,150.0,19.0,13.0,0.0
43265,Sohail Tanvir,Pakistan,35.0,Left-hand bat,Left-arm medium-fast,Bowler,62.0,40.0,11.0,399.0,59,13.75,458.0,87.11,0.0,1.0,44.0,6.0,15.0,0.0
317252,Sohail Khan,Pakistan,35.0,Right-hand bat,Right-arm fast-medium,Bowler,13.0,6.0,1.0,25.0,7,5.0,51.0,49.01,0.0,0.0,2.0,0.0,3.0,0.0
43266,Sohaib Maqsood,Pakistan,32.0,Right-hand bat,Right-arm offbreak,Middle-order batsman,26.0,25.0,2.0,735.0,89*,31.95,881.0,83.42,0.0,5.0,58.0,16.0,9.0,0.0
42657,Shoaib Malik,Pakistan,37.0,Right-hand bat,Right-arm offbreak,Middle-order batsman,280.0,251.0,40.0,7390.0,143,35.02,9039.0,81.75,9.0,43.0,595.0,112.0,96.0,0.0
42655,Shoaib Akhtar,Pakistan,44.0,Right-hand bat,Right-arm fast,Bowler,163.0,84.0,40.0,394.0,43,8.95,538.0,73.23,0.0,0.0,27.0,12.0,20.0,0.0
227762,Sharjeel Khan,Pakistan,30.0,Left-hand bat,Legbreak,Opening batsman,25.0,25.0,0.0,812.0,152,32.48,716.0,113.4,1.0,6.0,104.0,28.0,6.0,0.0
42639,Shahid Afridi,Pakistan,39.0,Right-hand bat,Legbreak googly,Allrounder,398.0,369.0,27.0,8064.0,124,23.57,6892.0,117.0,6.0,39.0,730.0,351.0,127.0,0.0
922943,Shadab Khan,Pakistan,21.0,Right-hand bat,Legbreak,Allrounder,34.0,16.0,6.0,294.0,54,29.4,452.0,65.04,0.0,3.0,16.0,4.0,7.0,0.0
227760,Sarfaraz Ahmed,Pakistan,32.0,Right-hand bat,0,Wicketkeeper batsman,101.0,76.0,17.0,1942.0,105,32.91,2253.0,86.19,2.0,9.0,148.0,10.0,98.0,23.0
42628,Saqlain Mushtaq,Pakistan,43.0,Right-hand bat,Right-arm offbreak,Bowler,169.0,98.0,38.0,711.0,37*,11.85,1434.0,49.58,0.0,0.0,45.0,4.0,40.0,0.0
42683,Salman Butt,Pakistan,35.0,Left-hand bat,Right-arm offbreak,Batsman,78.0,78.0,4.0,2725.0,136,36.82,3572.0,76.28,8.0,14.0,343.0,7.0,20.0,0.0
42620,Saleem Elahi,Pakistan,43.0,Right-hand bat,Right-arm offbreak,Opening batsman,48.0,47.0,4.0,1579.0,135,36.72,2214.0,71.31,4.0,9.0,162.0,9.0,10.0,0.0
42699,Saeed Ajmal,Pakistan,42.0,Right-hand bat,Right-arm offbreak,Bowler,113.0,70.0,24.0,324.0,33,7.04,535.0,60.56,0.0,0.0,25.0,0.0,25.0,0.0
323244,Rahat Ali,Pakistan,31.0,Right-hand bat,Left-arm fast-medium,Bowler,14.0,7.0,4.0,8.0,6*,2.66,37.0,21.62,0.0,0.0,0.0,0.0,1.0,0.0
43524,Umar Gul,Pakistan,35.0,Right-hand bat,Right-arm fast-medium,Bowler,130.0,65.0,18.0,457.0,39,9.72,642.0,71.18,0.0,0.0,36.0,14.0,17.0,0.0
288211,Umar Amin,Pakistan,30.0,Left-hand bat,Right-arm medium,Top-order batsman,16.0,16.0,1.0,271.0,59,18.06,392.0,69.13,0.0,1.0,28.0,2.0,6.0,0.0
317273,Umar Akmal,Pakistan,29.0,Right-hand bat,0,Middle-order batsman,117.0,106.0,17.0,3092.0,102*,34.74,3592.0,86.08,2.0,20.0,260.0,53.0,77.0,13.0
43590,Wahab Riaz,Pakistan,34.0,Right-hand bat,Left-arm fast,Bowler,79.0,56.0,13.0,589.0,54*,13.69,715.0,82.37,0.0,2.0,46.0,21.0,23.0,0.0
43652,Younis Khan,Pakistan,42.0,Right-hand bat,"Right-arm medium, Legbreak",Middle-order batsman,265.0,255.0,23.0,7249.0,144,31.24,9628.0,75.29,7.0,48.0,578.0,56.0,135.0,0.0
43685,Yasir Shah,Pakistan,33.0,Right-hand bat,Legbreak googly,Bowler,20.0,9.0,3.0,102.0,32*,17.0,114.0,89.47,0.0,0.0,9.0,1.0,5.0,0.0
