ID,NAME,COUNTRY,Age,Batting style,Bowling style,Playing role,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
43692,Zafar Iqbal,Pakistan,50.0,Right-hand bat,Right-arm fast-medium,Allrounder,8.0,7.0,198.0,137.0,3.0,Feb-37,Feb-37,45.66,4.15,66.0,0.0,0.0,0.0
39037,Azhar Ali,Pakistan,34.0,Right-hand bat,Legbreak,Top-order batsman,53.0,14.0,258.0,260.0,4.0,Feb-26,Feb-26,65.0,6.04,64.5,0.0,0.0,0.0
232491,Anwar Ali,Pakistan,32.0,Right-hand bat,Right-arm medium-fast,Bowler,22.0,22.0,927.0,944.0,18.0,Mar-66,Mar-66,52.44,6.11,51.5,0.0,0.0,0.0
39821,Aizaz Cheema,Pakistan,40.0,Right-hand bat,Right-arm medium-fast,Bowler,14.0,14.0,658.0,593.0,23.0,Apr-43,Apr-43,25.78,5.4,28.6,2.0,0.0,0.0
259410,Ahmed Shehzad,Pakistan,28.0,Right-hand bat,Legbreak,Opening batsman,81.0,9.0,115.0,140.0,2.0,Jan-22,Jan-22,70.0,7.3,57.5,0.0,0.0,0.0
39091,Abdur Rehman,Pakistan,39.0,Left-hand bat,Slow left-arm orthodox,Bowler,31.0,31.0,1624.0,1142.0,30.0,Apr-48,Apr-48,38.06,4.21,54.1,1.0,0.0,0.0
39836,Abdul Razzaq,Pakistan,40.0,Right-hand bat,Right-arm fast-medium,Allrounder,265.0,254.0,10941.0,8564.0,269.0,Jun-35,Jun-35,31.83,4.69,40.6,8.0,3.0,0.0
343305,Bilawal Bhatti,Pakistan,28.0,Right-hand bat,Right-arm medium-fast,Bowler,10.0,10.0,409.0,439.0,6.0,Mar-37,Mar-37,73.16,6.44,68.1,0.0,0.0,0.0
547092,Ehsan Adil,Pakistan,26.0,Right-hand bat,Right-arm fast-medium,Bowler,6.0,6.0,225.0,223.0,4.0,Jan-31,Jan-31,55.75,5.94,56.2,0.0,0.0,0.0
40250,Fawad Alam,Pakistan,34.0,Left-hand bat,Slow left-arm orthodox,Top-order batsman,38.0,13.0,398.0,377.0,5.0,01-Aug,01-Aug,75.4,5.68,79.6,0.0,0.0,0.0
512191,Fakhar Zaman,Pakistan,29.0,Left-hand bat,Slow left-arm orthodox,Opening batsman,31.0,6.0,111.0,88.0,1.0,Jan-19,Jan-19,88.0,4.75,111.0,0.0,0.0,0.0
681117,Faheem Ashraf,Pakistan,25.0,Left-hand bat,Right-arm medium,Bowling allrounder,19.0,19.0,729.0,555.0,19.0,May-22,May-22,29.21,4.56,38.3,0.0,1.0,0.0
681305,Hasan Ali,Pakistan,25.0,Right-hand bat,Right-arm medium-fast,Bowler,44.0,43.0,2125.0,1862.0,77.0,May-34,May-34,24.18,5.25,27.5,1.0,3.0,0.0
318788,Haris Sohail,Pakistan,30.0,Left-hand bat,Slow left-arm orthodox,Middle-order batsman,27.0,15.0,528.0,503.0,10.0,Mar-45,Mar-45,50.3,5.71,52.8,0.0,0.0,0.0
384518,Hammad Azam,Pakistan,28.0,Right-hand bat,Right-arm medium,Middle-order batsman,11.0,8.0,198.0,169.0,2.0,Jan-21,Jan-21,84.5,5.12,99.0,0.0,0.0,0.0
227758,Imad Wasim,Pakistan,31.0,Left-hand bat,Slow left-arm orthodox,Allrounder,37.0,37.0,1593.0,1202.0,30.0,May-14,May-14,40.06,4.52,53.1,0.0,1.0,0.0
