date,match,series,venue,opposition,player_id,player_name,playing_role,won
2006-02-06,235831,14710,Peshawar,India,42683,Salman Butt,Batsman,PAK
2006-02-06,235831,14710,Peshawar,India,41028,Kamran Akmal,Wicketkeeper batsman,PAK
2006-02-06,235831,14710,Peshawar,India,42657,Shoaib Malik,Allrounder,PAK
2006-02-06,235831,14710,Peshawar,India,42639,Shahid Afridi,Allrounder,PAK
2006-02-06,235831,14710,Peshawar,India,43650,Mohammad Yousuf,Batsman,PAK
2006-02-06,235831,14710,Peshawar,India,40570,Inzamam-ul-Haq,Batsman,PAK
2006-02-06,235831,14710,Peshawar,India,43652,Younis Khan,Middle-order batsman,PAK
2006-02-06,235831,14710,Peshawar,India,39836,Abdul Razzaq,Allrounder,PAK
2006-02-06,235831,14710,Peshawar,India,42272,Naved-ul-Hasan,Unknown,PAK
2006-02-06,235831,14710,Peshawar,India,41411,Mohammad Asif,Bowler,PAK
2006-02-06,235831,14710,Peshawar,India,39005,Arshad Khan,Unknown,PAK
2006-02-06,235831,14710,Peshawar,India,43524,Umar Gul,Bowler,PAK
2006-02-11,236520,14710,Rawalpin,India,42683,Salman Butt,Batsman,IND
2006-02-11,236520,14710,Rawalpin,India,41028,Kamran Akmal,Wicketkeeper batsman,IND
2006-02-11,236520,14710,Rawalpin,India,42657,Shoaib Malik,Allrounder,IND
2006-02-11,236520,14710,Rawalpin,India,43650,Mohammad Yousuf,Batsman,IND
2006-02-11,236520,14710,Rawalpin,India,40570,Inzamam-ul-Haq,Batsman,IND
2006-02-11,236520,14710,Rawalpin,India,43652,Younis Khan,Middle-order batsman,IND
2006-02-11,236520,14710,Rawalpin,India,42639,Shahid Afridi,Allrounder,IND
2006-02-11,236520,14710,Rawalpin,India,39836,Abdul Razzaq,Allrounder,IND
2006-02-11,236520,14710,Rawalpin,India,42272,Naved-ul-Hasan,Unknown,IND
2006-02-11,236520,14710,Rawalpin,India,43524,Umar Gul,Bowler,IND
2006-02-11,236520,14710,Rawalpin,India,41411,Mohammad Asif,Bowler,IND
2006-02-11,236520,14710,Rawalpin,India,39005,Arshad Khan,Unknown,IND
2006-02-13,236809,14710,Lahore,India,42683,Salman Butt,Batsman,IND
2006-02-13,236809,14710,Lahore,India,42639,Shahid Afridi,Allrounder,IND
2006-02-13,236809,14710,Lahore,India,41028,Kamran Akmal,Wicketkeeper batsman,IND
2006-02-13,236809,14710,Lahore,India,42657,Shoaib Malik,Allrounder,IND
2006-02-13,236809,14710,Lahore,India,43650,Mohammad Yousuf,Batsman,IND
2006-02-13,236809,14710,Lahore,India,40570,Inzamam-ul-Haq,Batsman,IND
2006-02-13,236809,14710,Lahore,India,43652,Younis Khan,Middle-order batsman,IND
2006-02-13,236809,14710,Lahore,India,39836,Abdul Razzaq,Allrounder,IND
2006-02-13,236809,14710,Lahore,India,42272,Naved-ul-Hasan,Unknown,IND
2006-02-13,236809,14710,Lahore,India,43654,Yasir Arafat,Unknown,IND
2006-02-13,236809,14710,Lahore,India,41411,Mohammad Asif,Bowler,IND
2006-02-13,236809,14710,Lahore,India,43524,Umar Gul,Bowler,IND
2006-02-16,237222,14710,Multan,India,41028,Kamran Akmal,Wicketkeeper batsman,IND
2006-02-16,237222,14710,Multan,India,42683,Salman Butt,Batsman,IND
2006-02-16,237222,14710,Multan,India,42657,Shoaib Malik,Allrounder,IND
2006-02-16,237222,14710,Multan,India,40570,Inzamam-ul-Haq,Batsman,IND
2006-02-16,237222,14710,Multan,India,43652,Younis Khan,Middle-order batsman,IND
2006-02-16,237222,14710,Multan,India,43650,Mohammad Yousuf,Batsman,IND
2006-02-16,237222,14710,Multan,India,40582,Imran Farhat,Unknown,IND
2006-02-16,237222,14710,Multan,India,39836,Abdul Razzaq,Allrounder,IND
2006-02-16,237222,14710,Multan,India,42272,Naved-ul-Hasan,Unknown,IND
2006-02-16,237222,14710,Multan,India,41324,Mohammad Sami,Bowler,IND
2006-02-16,237222,14710,Multan,India,41411,Mohammad Asif,Bowler,IND
2006-02-16,237222,14710,Multan,India,43654,Yasir Arafat,Unknown,IND
2006-02-19,237571,14710,Karachi,India,41028,Kamran Akmal,Wicketkeeper batsman,IND
2006-02-19,237571,14710,Karachi,India,40582,Imran Farhat,Unknown,IND
2006-02-19,237571,14710,Karachi,India,42657,Shoaib Malik,Allrounder,IND
2006-02-19,237571,14710,Karachi,India,43650,Mohammad Yousuf,Batsman,IND
2006-02-19,237571,14710,Karachi,India,40570,Inzamam-ul-Haq,Batsman,IND
2006-02-19,237571,14710,Karachi,India,43652,Younis Khan,Middle-order batsman,IND
2006-02-19,237571,14710,Karachi,India,39836,Abdul Razzaq,Allrounder,IND
2006-02-19,237571,14710,Karachi,India,43654,Yasir Arafat,Unknown,IND
2006-02-19,237571,14710,Karachi,India,41324,Mohammad Sami,Bowler,IND
2006-02-19,237571,14710,Karachi,India,40591,Iftikhar Anjum,Unknown,IND
2006-02-19,237571,14710,Karachi,India,41411,Mohammad Asif,Bowler,IND
2006-02-19,237571,14710,Karachi,India,-9223372036854775808,nan,nan,IND
2006-03-17,238213,14665,Colombo,Sri L,42683,Salman Butt,Batsman,PAK
2006-03-17,238213,14665,Colombo,Sri L,41028,Kamran Akmal,Wicketkeeper batsman,PAK
2006-03-17,238213,14665,Colombo,Sri L,42657,Shoaib Malik,Allrounder,PAK
2006-03-17,238213,14665,Colombo,Sri L,43650,Mohammad Yousuf,Batsman,PAK
2006-03-17,238213,14665,Colombo,Sri L,40570,Inzamam-ul-Haq,Batsman,PAK
