date,match,series,venue,opposition,player_id,player_name,playing_role,won,played
2006-08-30,225245,14612,Cardiff,England,42639,Shahid Afridi,Allrounder,1.0,1
2006-08-30,225245,14612,Cardiff,England,40570,Inzamam-ul-Haq,Batsman,1.0,1
2006-08-30,225245,14612,Cardiff,England,43650,Mohammad Yousuf,Batsman,1.0,1
2006-08-30,225245,14612,Cardiff,England,43652,Younis Khan,Batsman,1.0,1
2006-08-30,225245,14612,Cardiff,England,41434,Mohammad Hafeez,Allrounder,1.0,1
2006-08-30,225245,14612,Cardiff,England,42657,Shoaib Malik,Allrounder,1.0,1
2006-08-30,225245,14612,Cardiff,England,41028,Kamran Akmal,Wicketkeeper,1.0,1
2006-08-30,225245,14612,Cardiff,England,42655,Shoaib Akhtar,Bowler,1.0,1
2006-08-30,225245,14612,Cardiff,England,41411,Mohammad Asif,Bowler,1.0,1
2006-08-30,225245,14612,Cardiff,England,39836,Abdul Razzaq,Allrounder,1.0,1
2006-09-02,225246,14612,London,England,41411,Mohammad Asif,Bowler,1.0,1
2006-09-02,225246,14612,London,England,42655,Shoaib Akhtar,Bowler,1.0,1
2006-09-02,225246,14612,London,England,41028,Kamran Akmal,Wicketkeeper,1.0,1
2006-09-02,225246,14612,London,England,42639,Shahid Afridi,Allrounder,1.0,1
2006-09-02,225246,14612,London,England,43652,Younis Khan,Batsman,1.0,1
2006-09-02,225246,14612,London,England,40570,Inzamam-ul-Haq,Batsman,1.0,1
2006-09-02,225246,14612,London,England,43650,Mohammad Yousuf,Batsman,1.0,1
2006-09-02,225246,14612,London,England,41434,Mohammad Hafeez,Allrounder,1.0,1
2006-09-02,225246,14612,London,England,42657,Shoaib Malik,Allrounder,1.0,1
2006-09-02,225246,14612,London,England,39836,Abdul Razzaq,Allrounder,1.0,1
2006-09-05,225247,14612,Southamp,England,41028,Kamran Akmal,Wicketkeeper,1.0,1
2006-09-05,225247,14612,Southamp,England,41411,Mohammad Asif,Bowler,1.0,1
2006-09-05,225247,14612,Southamp,England,42655,Shoaib Akhtar,Bowler,1.0,1
2006-09-05,225247,14612,Southamp,England,39836,Abdul Razzaq,Allrounder,1.0,1
2006-09-05,225247,14612,Southamp,England,42639,Shahid Afridi,Allrounder,1.0,1
2006-09-05,225247,14612,Southamp,England,40570,Inzamam-ul-Haq,Batsman,1.0,1
2006-09-05,225247,14612,Southamp,England,43650,Mohammad Yousuf,Batsman,1.0,1
2006-09-05,225247,14612,Southamp,England,43652,Younis Khan,Batsman,1.0,1
