Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
12 Jun 2017,Sri Lanka,Cardiff,1,1,0,0,1,15.0,24.0,15.0,1.0,1.0,100.0,6.2,0.0,37.0,2.0,5.84
18 Oct 2017,Sri Lanka,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,2.0
23 Oct 2017,Sri Lanka,Sharjah,1,1,0,0,1,5.0,0.0,11.0,0.0,0.0,45.45,4.0,0.0,12.0,0.0,3.0
6 Jan 2018,New Zealand,Wellington,0,0,0,0,0,17.0,15.0,12.0,2.0,1.0,141.66,9.0,0.0,58.0,1.0,6.44
9 Jan 2018,New Zealand,Nelson,1,1,0,0,1,7.0,22.0,18.0,1.0,0.0,38.88,5.0,0.0,30.0,1.0,6.0
13 Jan 2018,New Zealand,Dunedin,0,0,0,0,0,10.0,14.0,13.0,0.0,1.0,76.92,6.0,1.0,29.0,1.0,4.83
16 Jan 2018,New Zealand,Hamilton,0,0,0,0,0,1.0,9.0,4.0,0.0,0.0,25.0,6.0,0.0,33.0,0.0,5.5
19 Jan 2018,New Zealand,Wellington,0,0,0,0,0,23.0,24.0,15.0,1.0,2.0,153.33,9.0,0.0,49.0,2.0,5.44
13 Jul 2018,Zimbabwe,Bulawayo,1,1,0,0,1,0.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,14.0,2.0,2.8
16 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,15.0,0.0,2.5
18 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,2.0,22.0,5.0,2.69
20 Jul 2018,Zimbabwe,Bulawayo,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,16.0,2.0,2.28
16 Sep 2018,Hong Kong,Dubai (DSC),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,1.0,2.5
19 Sep 2018,India,Dubai (DSC),0,0,0,0,0,21.0,0.0,44.0,2.0,0.0,47.72,5.0,0.0,31.0,1.0,6.2
9 Nov 2018,New Zealand,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,26.0,0.0,3.71
11 Nov 2018,New Zealand,Dubai (DSC),0,0,0,0,0,5.0,0.0,2.0,0.0,0.0,250.0,3.0,0.0,17.0,0.0,5.66
19 Jan 2019,South Africa,Port Elizabeth,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,64.0,0.0,6.4
22 Jan 2019,South Africa,Durban,0,0,0,0,0,0.0,8.0,5.0,0.0,0.0,0.0,7.0,0.0,32.0,0.0,4.57
22 Mar 2019,Australia,Sharjah,0,0,0,0,0,28.0,0.0,26.0,4.0,0.0,107.69,9.0,0.0,50.0,1.0,5.55
24 Mar 2019,Australia,Sharjah,0,0,0,0,0,14.0,0.0,14.0,1.0,1.0,100.0,9.5,0.0,45.0,0.0,4.57
8 May 2019,England,The Oval,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11 May 2019,England,Southampton,0,0,0,0,0,3.0,8.0,4.0,0.0,0.0,75.0,10.0,0.0,69.0,0.0,6.9
14 May 2019,England,Bristol,0,0,0,0,0,13.0,16.0,11.0,1.0,0.0,118.18,9.0,0.0,75.0,1.0,8.33
